,PLAYER,YRS,G,AB,R,H,2B,3B,HR,RBI,BB,SO,SB,CS,BA
 ,andrew benintendi,4,138,541,72,144,40,5,13,68,59,140,10,3,.266
 ,adam haseley,1,67,222,30,59,14,0,5,26,14,60,4,0,.266
145,shin-soo choo,15,151,563,93,149,31,2,24,61,78,165,15,1,.265
 ,eric hosmer,9,160,619,72,164,29,2,22,99,40,163,0,3,.265
 ,jorge soler,6,162,589,95,156,33,1,48,117,73,178,3,1,.265
 ,francisco mejia,3,79,226,27,60,11,2,8,22,13,56,1,1,.265
 ,matt beaty,1,99,249,36,66,19,1,9,46,17,33,5,0,.265
150,kurt suzuki,13,85,280,37,74,11,0,17,63,20,36,0,1,.264
151,marwin gonzalez,8,114,425,52,112,19,0,15,55,31,98,1,0,.264
 ,andrelton simmons,8,103,398,47,105,19,0,7,40,24,37,10,2,.264
 ,jose osuna,3,95,261,41,69,20,0,10,36,18,48,0,0,.264
154,stephen vogt,7,99,255,30,67,24,2,10,40,20,66,3,1,.263
 ,adalberto mondesi,5,102,415,58,109,20,10,9,62,19,132,43,7,.263
 ,luke voit,3,118,429,72,113,21,1,21,62,71,142,0,0,.263
157,jorge alfaro,4,130,431,44,113,14,1,18,57,22,154,4,4,.262
 ,tony wolters,4,121,359,42,94,17,2,1,42,36,68,0,1,.262
 ,brian goodwin,4,136,413,65,108,29,3,17,47,38,129,7,3,.262
 ,byron buxton,5,87,271,48,71,30,4,10,46,19,68,14,3,.262
 ,chris taylor,6,124,366,52,96,29,4,12,52,37,115,8,0,.262
162,joey votto,13,144,525,79,137,32,1,15,47,76,123,5,0,.261
 ,neil walker,11,115,337,37,88,19,1,8,38,42,77,3,0,.261
 ,ji-man choi,4,127,410,54,107,20,2,19,63,64,108,2,3,.261
 ,brian anderson,3,126,459,57,120,33,1,20,66,44,114,5,1,.261
 ,anthony santander,3,93,380,46,99,20,1,20,59,19,86,1,2,.261
167,adam jones,14,137,485,66,126,25,1,16,67,31,101,2,1,.260
 ,asdrubal cabrera,13,131,447,69,116,25,1,18,91,57,103,4,0,.260
 ,lorenzo cain,10,148,562,75,146,30,0,11,48,50,106,18,8,.260
 ,freddy galvis,8,147,557,67,145,28,1,23,70,28,145,4,2,.260
 ,bryce harper,8,157,573,98,149,36,1,35,114,99,178,15,3,.260
 ,paul goldschmidt,9,161,597,97,155,25,1,34,97,78,166,3,1,.260
 ,pete alonso,1,161,597,103,155,30,2,53,120,72,183,1,0,.260
174,josh donaldson,9,155,549,96,142,33,0,37,94,100,155,4,2,.259
 ,christian walker,5,152,529,86,137,26,1,29,73,67,155,8,1,.259
 ,kevin pillar,7,161,611,83,158,37,3,21,88,18,89,14,5,.259
 ,aristides aquino,2,56,205,31,53,8,0,19,47,16,60,7,0,.259
178,scott kingery,2,126,458,64,118,34,4,19,55,34,147,15,4,.258
179,buster posey,11,114,405,43,104,24,0,7,38,34,71,0,0,.257
 ,michael conforto,5,151,549,90,141,29,1,33,92,84,149,7,2,.257
 ,david bote,2,127,303,47,78,17,0,11,41,44,93,5,1,.257
182,robinson cano,15,107,390,46,100,28,0,13,39,25,69,0,0,.256
 ,andrew mccutchen,11,59,219,45,56,12,1,10,29,43,55,2,1,.256
 ,manny machado,8,156,587,81,150,21,2,32,85,65,128,5,3,.256
 ,jonathan schoop,7,121,433,61,111,23,1,23,59,20,116,1,1,.256
 ,nick senzel,1,104,375,55,96,20,4,12,42,30,101,14,5,.256
187,ian desmond,11,140,443,64,113,31,4,20,65,34,119,3,3,.255
 ,jose ramirez,7,129,482,68,123,33,3,23,83,52,74,24,4,.255
 ,victor robles,3,155,546,86,139,33,3,17,65,35,140,28,9,.255
190,evan longoria,12,130,453,59,115,19,2,20,69,43,112,3,1,.254
 ,mike moustakas,9,143,523,80,133,30,1,35,87,53,98,3,0,.254
 ,nick ahmed,6,159,556,79,141,33,6,19,82,52,113,8,2,.254
 ,willy adames,2,152,531,69,135,25,1,20,52,46,153,4,2,.254
 ,michael chavis,1,95,347,46,88,10,1,18,58,31,127,2,1,.254
195,domingo santana,6,121,451,63,114,20,1,21,69,50,164,8,3,.253
 ,c.j. cron,6,125,458,51,116,24,0,25,78,29,107,0,0,.253
 ,joey gallo,5,70,241,54,61,15,1,22,49,52,114,4,2,.253
198,mitch moreland,10,91,298,48,75,17,1,19,58,34,74,1,0,.252
 ,max kepler,5,134,524,98,132,32,0,36,90,60,99,1,5,.252
 ,yolmer sanchez,6,149,496,59,125,20,4,2,43,44,117,5,4,.252
201,brett gardner,12,141,491,86,123,26,7,28,74,52,108,10,2,.251
 ,jason heyward,10,147,513,78,129,20,4,21,62,68,110,8,3,.251
 ,travis d'arnaud,7,103,351,52,88,16,0,16,69,32,85,0,1,.251
 ,todd frazier,9,133,447,63,112,19,2,21,67,40,106,1,2,.251
 ,curt casali,6,84,207,24,52,9,0,8,32,25,59,0,0,.251
 ,max muncy,4,141,487,101,122,22,1,35,98,90,149,4,1,.251
 ,dansby swanson,4,127,483,77,121,26,3,17,65,51,124,10,5,.251
208,ryan mcmahon,3,141,480,70,120,22,1,24,83,56,160,5,1,.250
 ,kyle schwarber,5,155,529,82,132,29,3,38,92,70,156,2,3,.250
 ,tim locastro,3,91,212,38,53,12,2,1,17,14,44,17,0,.250
211,brian mccann,15,85,277,28,69,9,0,12,45,31,53,0,0,.249
 ,delino deshields,5,118,357,42,89,15,4,4,32,38,100,24,6,.249
 ,joc pederson,6,149,450,83,112,16,3,36,74,50,111,1,1,.249
 ,stephen piscotty,5,94,357,46,89,17,1,13,44,29,84,2,0,.249
 ,pedro severino,5,97,305,37,76,13,0,13,44,29,73,3,1,.249
 ,franmil reyes,2,150,494,69,123,19,0,37,81,47,156,0,0,.249
 ,matt chapman,3,156,583,102,145,36,3,36,91,73,147,1,1,.249
 ,josh naylor,1,94,253,29,63,15,0,8,32,25,64,1,1,.249
219,ben gamel,4,134,311,47,77,18,0,7,33,40,104,2,2,.248
 ,greg garcia,6,134,311,52,77,13,4,4,31,53,83,0,2,.248
 ,niko goodrum,3,114,423,61,105,27,5,12,45,46,138,12,3,.248
 ,brandon dixon,2,118,391,41,97,20,4,15,52,21,136,5,1,.248
223,eric thames,5,149,396,67,98,23,2,25,61,51,140,3,2,.247
 ,miguel sano,5,105,380,76,94,19,2,34,79,55,159,0,1,.247
 ,garrett hampson,2,105,299,40,74,9,4,8,27,24,88,15,3,.247
226,yasmani grandal,8,153,513,79,126,26,2,28,77,109,139,5,1,.246
 ,cheslor cuthbert,5,87,309,24,76,14,0,9,40,19,67,1,0,.246
228,jason kipnis,9,121,458,52,112,23,1,17,65,40,88,7,2,.245
 ,carson kelly,4,111,314,46,77,19,0,18,47,48,79,0,0,.245
 ,dawel lugo,2,77,273,28,67,11,4,6,26,8,59,0,0,.245
231,albert pujols,19,131,491,55,120,22,0,23,93,43,68,3,0,.244
 ,edwin encarnacion,15,109,418,81,102,18,0,34,86,58,103,0,1,.244
 ,joe panik,6,142,438,50,107,21,2,5,39,43,47,4,2,.244
 ,renato nunez,4,151,541,72,132,24,0,31,90,44,143,1,1,.244
235,adam engel,3,89,227,26,55,10,2,6,26,14,78,3,3,.242
236,adeiny hechavarria,8,84,203,34,49,12,1,9,33,14,48,3,1,.241
 ,marcell ozuna,7,131,485,80,117,23,1,29,89,62,114,12,2,.241
 ,elias diaz,5,101,303,31,73,14,0,2,28,23,56,0,0,.241
 ,dwight smith jr.,3,101,357,46,86,16,3,13,53,26,82,5,1,.241
240,robbie grossman,7,138,420,57,101,21,3,6,38,59,86,9,4,.240
 ,chad pinder,4,124,341,45,82,21,0,13,47,20,88,0,1,.240
 ,nicky lopez,1,103,379,44,91,22,2,2,30,18,51,1,1,.240
243,josh phegley,7,106,314,44,75,18,0,12,62,15,63,0,1,.239
 ,kyle seager,9,106,393,55,94,19,1,23,63,44,86,2,2,.239
 ,wil myers,7,155,435,58,104,22,1,18,53,51,168,16,7,.239
 ,roberto perez,6,119,389,46,93,9,1,24,63,45,127,0,0,.239
 ,jose peraza,5,141,376,37,90,18,2,6,33,17,58,7,6,.239
248,dexter fowler,12,150,487,69,116,24,1,19,67,74,142,8,5,.238
 ,robinson chirinos,8,114,366,57,87,22,1,17,58,51,125,1,2,.238
 ,brian dozier,8,135,416,54,99,20,0,20,50,61,105,3,4,.238
251,didi gregorius,8,82,324,47,77,14,2,16,61,17,53,2,1,.238
 ,isiah kiner-falefa,2,65,202,23,48,12,1,1,21,14,49,3,0,.238
 ,luis rengifo,1,108,357,44,85,18,3,7,33,40,93,2,5,.238
254,tim beckham,6,88,304,39,72,21,1,15,47,21,102,1,3,.237
 ,enrique hernandez,5,130,414,57,98,19,1,17,64,36,97,4,0,.237
 ,addison russell,5,82,215,25,51,4,1,9,23,20,58,2,0,.237
 ,josh vanmeter,1,96,228,33,54,13,1,8,23,29,56,9,3,.237
258,jesus aguilar,6,131,314,39,74,12,0,12,50,43,81,0,0,.236
